Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1999-01-22,0.4019412151903222,0.4485948871986197,0.3564837237851362,0.3768196702003479,271468800.0,0.0,0.0
1999-01-25,0.4067259829949421,0.42108102896303073,0.3768197376217076,0.4162963330745697,51048000.0,0.0,0.0
1999-01-26,0.4210811378295937,0.4294553092571499,0.37801598879123915,0.3839977979660034,34320000.0,0.0,0.0
1999-01-27,0.38519380694425887,0.3947641552210974,0.36366077658703944,0.38280147314071655,24436800.0,0.0,0.0
1999-01-28,0.3828014779338264,0.3851938117673235,0.37921200519100756,0.3816052973270416,22752000.0,0.0,0.0
1999-01-29,0.381605330105869,0.38280151081540237,0.3636608123779297,0.3636608123779297,24403200.0,0.0,0.0
1999-02-01,0.3636608327328576,0.3732311824872683,0.3636608327328576,0.37083882093429565,15470400.0,0.0,0.0
1999-02-02,0.36366088959002585,0.37323124084072906,0.33136227863030404,0.34212878346443176,26409600.0,0.0,0.0
1999-02-03,0.3373440260285711,0.3540914326537772,0.3349507336113138,0.34930577874183655,7512000.0,0.0,0.0
1999-02-04,0.35409142450670933,0.3780158603053518,0.3493057707048788,0.3684464693069458,18192000.0,0.0,0.0
1999-02-05,0.3744273854233034,0.38280155489683204,0.36485703510249545,0.37921208143234253,13684800.0,0.0,0.0
1999-02-08,0.38160534361651144,0.38280152436839526,0.36605411767959595,0.36605411767959595,15408000.0,0.0,0.0
1999-02-09,0.37323115543991064,0.37562351681951334,0.34691342793952024,0.3516990542411804,8697600.0,0.0,0.0
1999-02-10,0.35169910870047755,0.36126852832060297,0.34212875815767885,0.3481096625328064,14822400.0,0.0,0.0
1999-02-11,0.3493057850378211,0.3923709212056073,0.3493057850378211,0.3780158758163452,13224000.0,0.0,0.0
1999-02-12,0.3828015095462213,0.4019412496176167,0.3828015095462213,0.39954888820648193,10972800.0,0.0,0.0
1999-02-16,0.4067259954737372,0.4234743345125805,0.3612685219205949,0.40194129943847656,21100800.0,0.0,0.0
